new_image_id,monster_name,source_image_id,source_file,target_file
510001,雷砂のスコルピオ,453,monster_000453.png,assets/monsters/monster_510001.png
510002,轟電サンドワーム,1853,monster_001853.png,assets/monsters/monster_510002.png
510003,帯電する石像兵,303204,monster_303204.png,assets/monsters/monster_510003.png
510004,雷雲のラミア,1951,monster_001951.png,assets/monsters/monster_510004.png
510005,紫電の砂王獣,901,monster_000901.png,assets/monsters/monster_510005.png
510011,黒縄ミイラ兵,252,monster_000252.png,assets/monsters/monster_510011.png
510012,雷葬のアヌビス,303206,monster_303206.png,assets/monsters/monster_510012.png
510013,電晶スカラベ,405,monster_000405.png,assets/monsters/monster_510013.png
510014,王墓の雷術師,406,monster_000406.png,assets/monsters/monster_510014.png
510015,黒雷の番獣,402,monster_000402.png,assets/monsters/monster_510015.png
510021,嘆風の亡者,154,monster_000154.png,assets/monsters/monster_510021.png
510022,墓守りガルーダ,404,monster_000404.png,assets/monsters/monster_510022.png
510023,哭き声のバンシー,452,monster_000452.png,assets/monsters/monster_510023.png
510024,風葬の骸騎士,357,monster_000357.png,assets/monsters/monster_510024.png
510025,叫喚の墓獣,851,monster_000851.png,assets/monsters/monster_510025.png
510031,霊廟の風読師,301082,monster_301082.png,assets/monsters/monster_510031.png
510032,旋風ミイラ,1254,monster_001254.png,assets/monsters/monster_510032.png
510033,虚空のレイス,802,monster_000802.png,assets/monsters/monster_510033.png
510034,魔風の石翼獣,556,monster_000556.png,assets/monsters/monster_510034.png
510035,葬送の嵐蛇,1653,monster_001653.png,assets/monsters/monster_510035.png
510041,凍樹のトレント,701,monster_000701.png,assets/monsters/monster_510041.png
510042,氷牙フェンリル,510,monster_000510.png,assets/monsters/monster_510042.png
510043,霜衣の魔女,1703,monster_001703.png,assets/monsters/monster_510043.png
510044,白氷の甲殻獣,303208,monster_303208.png,assets/monsters/monster_510044.png
510045,極寒の森王,1154,monster_001154.png,assets/monsters/monster_510045.png
510051,浄罪の氷僧,401120,monster_401120.png,assets/monsters/monster_510051.png
510052,氷刻の処刑騎士,357,monster_000357.png,assets/monsters/monster_510052.png
510053,凍涙のセイレーン,301030,monster_301030.png,assets/monsters/monster_510053.png
510054,罪鎖の霜竜,1153,monster_001153.png,assets/monsters/monster_510054.png
510055,無音の氷獄獣,1055,monster_001055.png,assets/monsters/monster_510055.png
510061,煉岩の火蜥蜴,704,monster_000704.png,assets/monsters/monster_510061.png
510062,熔断の山羊鬼,303201,monster_303201.png,assets/monsters/monster_510062.png
510063,灰翼の火竜,554,monster_000554.png,assets/monsters/monster_510063.png
510064,噴炎の巨岩兵,1551,monster_001551.png,assets/monsters/monster_510064.png
510065,煉獄峰の暴君,601,monster_000601.png,assets/monsters/monster_510065.png
510071,灼城の甲冑兵,504,monster_000504.png,assets/monsters/monster_510071.png
510072,焦土の宮廷魔導士,1501,monster_001501.png,assets/monsters/monster_510072.png
510073,炎冠のガーゴイル,505,monster_000505.png,assets/monsters/monster_510073.png
510074,焼尽の処刑人,754,monster_000754.png,assets/monsters/monster_510074.png
510075,古城の紅蓮竜,1152,monster_001152.png,assets/monsters/monster_510075.png
510081,夢蝕みのモルフォ,403,monster_000403.png,assets/monsters/monster_510081.png
510082,光葬の巡礼者,604,monster_000604.png,assets/monsters/monster_510082.png
510083,影縫いの幻術師,503,monster_000503.png,assets/monsters/monster_510083.png
510084,白黒の鏡魔,603,monster_000603.png,assets/monsters/monster_510084.png
510085,昏迷の回廊獣,1303,monster_001303.png,assets/monsters/monster_510085.png
510091,根喰らいの天使骸,1404,monster_001404.png,assets/monsters/monster_510091.png
510092,闇芽のアルラウネ,701,monster_000701.png,assets/monsters/monster_510092.png
510093,災光の祭司,1604,monster_001604.png,assets/monsters/monster_510093.png
510094,執念の根獣,1601,monster_001601.png,assets/monsters/monster_510094.png
510095,ジャゴレアの落胤,1452,monster_001452.png,assets/monsters/monster_510095.png
510101,時牢の番人,1603,monster_001603.png,assets/monsters/monster_510101.png
510102,逆刻のキマイラ,303203,monster_303203.png,assets/monsters/monster_510102.png
510103,虚時の魔女,1901,monster_001901.png,assets/monsters/monster_510103.png
510104,次元断ちの竜兵,1355,monster_001355.png,assets/monsters/monster_510104.png
510105,混沌牢の看守長,1804,monster_001804.png,assets/monsters/monster_510105.png
511010,深淵門将レオン,401010,monster_401010.png,assets/monsters/monster_511010.png
511020,深淵門将グレン,401020,monster_401020.png,assets/monsters/monster_511020.png
511030,黒雷のレナード,401030,monster_401030.png,assets/monsters/monster_511030.png
511040,死風のエリシア,401040,monster_401040.png,assets/monsters/monster_511040.png
511050,極零のシーリス,401050,monster_401050.png,assets/monsters/monster_511050.png
511060,焦熱のグラド,401060,monster_401060.png,assets/monsters/monster_511060.png
511070,昏迷の黒騎士ヴェルド,401070,monster_401070.png,assets/monsters/monster_511070.png
511080,妄執の神官ジャスパー,401090,monster_401090.png,assets/monsters/monster_511080.png
511090,混沌姫イルミナシア,401081,monster_401081.png,assets/monsters/monster_511090.png
511101,火の大精霊,354,monster_000354.png,assets/monsters/monster_511101.png
511102,水の大精霊,351,monster_000351.png,assets/monsters/monster_511102.png
511103,風の大精霊,654,monster_000654.png,assets/monsters/monster_511103.png
511104,雷の大精霊,901,monster_000901.png,assets/monsters/monster_511104.png
511105,光の大精霊,604,monster_000604.png,assets/monsters/monster_511105.png
511106,闇の大精霊,1053,monster_001053.png,assets/monsters/monster_511106.png
512000,死幻の魔柱ヴェグナシス共通画像,401180,monster_401180.png,assets/monsters/monster_512000.png
512100,深淵王アゼルガラグ,401100,monster_401100.png,assets/monsters/monster_512100.png
512101,深淵王アゼルガラグ・終極,401190,monster_401190.png,assets/monsters/monster_512101.png
